ID,Salad,MeatAge,Date,Time,Ack,Expires
37,Pistachio Pineapple,0,02/06/24,04:49:33 PM,TRUE,02/14/24
38,Spring Pasta Salad,0,02/06/24,04:53:33 PM,TRUE,02/14/24
43,Pistachio Pineapple,0,02/07/24,04:56:46 PM,TRUE,02/15/24
39,Parmesan Peppercorn,0,02/06/24,04:53:53 PM,TRUE,02/14/24
40,Cowboy Cavar,0,02/06/24,04:54:06 PM,TRUE,02/14/24
41,Pepper Slaw,0,02/07/24,04:54:28 PM,TRUE,02/15/24
42,Italian Pasta,0,02/07/24,04:54:36 PM,TRUE,02/15/24
44,Honey Chicken Salad,0,02/10/24,05:08:28 PM,TRUE,02/18/24
45,Pistachio Pineapple,0,02/13/24,07:00:00 AM,TRUE,02/20/24
46,Coleslaw,0,02/13/24,07:00:00 AM,TRUE,02/20/24
47,Italian Pasta,0,02/13/24,07:00:00 AM,TRUE,02/20/24
48,Three Bean Salad,0,02/14/24,06:00:00 AM,TRUE,02/21/24
49,Parmasan Bowtie,0,02/14/24,06:00:00 AM,TRUE,02/19/24
51,Brocoli Bacon,0,02/14/24,02:30:06 PM,TRUE,02/20/24
59,Dill Potato Salad,0,02/15/24,02:02:00 PM,TRUE,02/21/24
50,Cucumber and Onion,0,02/14/24,06:00:00 AM,,02/21/24
60,Brocoli Bacon,0,02/17/24,12:41:42 PM,TRUE,02/22/24
61,Cowboy Cavar,0,02/17/24,02:54:04 PM,TRUE,02/25/24
62,Cowboy Cavar,0,02/17/24,04:24:41 PM,FALSE,02/25/24
65,Potato Salad,0,02/19/24,09:04:34 AM,FALSE,02/26/24
63,Coleslaw,5,02/17/24,05:36:52 PM,TRUE,02/20/24
64,Seafood Supream,2,02/17/24,12:00:00 PM,FALSE,02/22/24
53,Potato Salad,0,02/15/24,07:33:30 AM,TRUE,02/22/24
54,Coleslaw,0,02/15/24,07:33:36 AM,TRUE,02/22/24
55,Summer Fresh,0,02/15/24,07:40:05 AM,TRUE,02/22/24
66,Coleslaw,0,02/19/24,07:30:00 AM,FALSE,02/26/24
68,Lemon Garlic Shrimp Salad,0,02/19/24,10:50:18 AM,FALSE,02/24/24
56,Cowboy Cavar,0,02/15/24,07:43:46 AM,TRUE,02/22/24
57,Seafood Supream,2,02/13/24,07:53:05 AM,TRUE,02/18/24
67,Three Bean Salad,0,02/17/24,08:00:00 AM,FALSE,02/24/24
58,Pistachio Pineapple,0,02/15/24,09:13:31 AM,FALSE,02/22/24
69,Parmasan Bowtie,0,02/19/24,07:30:00 AM,FALSE,02/24/24
70,Dill Potato Salad,0,02/20/24,04:00:00 PM,TRUE,02/26/24
72,Cherry Cheesecake,0,02/21/24,07:41:07 AM,FALSE,02/28/24
73,Oriental Crunch ,0,02/21/24,02:53:51 PM,FALSE,02/27/24
74,Brocoli Bacon,0,02/24/24,03:21:36 PM,FALSE,03/01/24
75,Dill Potato Salad,0,02/24/24,03:40:15 PM,FALSE,03/01/24
76,Beets and Onion,0,02/26/24,08:33:08 AM,FALSE,03/04/24
77,Tuna Macaroni,0,02/26/24,08:34:17 AM,FALSE,03/02/24
78,Jalapeno Popper,0,02/26/24,08:36:21 AM,FALSE,03/04/24
79,Summer Fresh,0,02/26/24,12:35:00 PM,FALSE,03/04/24
